RowNum	OrigBook	OrigRef	MatchedBook	MatchedRef	Score	SplitMethod	QuoteLen	Status
393	Ps	19:3	Ps	19:3	0.1562	period	129	LOW_CONFIDENCE
394	Ps	19:4	Ps	8:4	0.2593	none	109	MARGINAL
395	Ps	19:5	Ps	8:5	0.8000	none	87	OK
396	Ps	19:6	Ps	8:6	0.3636	annotation_marker	98	OK
397	Ps	19:7	Tb	13:11	0.2632	period	64	MARGINAL
398	Ps	19:8	Ps	8:8	0.2800	annotation_marker	85	MARGINAL
399	Ps	19:9	Ps	19:9	0.2222	period	77	LOW_CONFIDENCE
400	Ps	19:1	Ps	19:1	0.1707	period	150	LOW_CONFIDENCE
401	Ps	19:2	Ps	19:2	0.2000	period	93	LOW_CONFIDENCE
402	Ps	19:5	Ps	19:5	0.2174	annotation_marker	81	LOW_CONFIDENCE
403	Ps	19:6	Ps	19:6	0.2059	annotation_marker	173	LOW_CONFIDENCE
404	Ps	19:7	Ps	9:7	0.2963	none	91	MARGINAL
405	Ps	19:8	Lv	14:31	0.2778	period	68	MARGINAL
406	Ps	19:17	1Chr	16:14	0.2609	annotation_marker	97	MARGINAL
407	Ps	19:2	Ps	19:2	0.2143	period	91	LOW_CONFIDENCE
408	Ps	19:3	Ps	9:24	0.4000	none	92	OK
409	Ps	19:4	Ps	9:25	0.5789	annotation_marker	85	OK
410	Ps	19:5	Ps	9:26	0.2895	annotation_marker	150	MARGINAL
411	Ps	19:6	Ps	9:27	0.3143	none	180	MARGINAL
412	Ps	19:7	Ps	9:28	0.4000	period	95	OK
413	Ps	19:8	Ps	9:29	0.3889	none	71	OK
414	Ps	19:9	Ps	19:9	0.2083	period	84	LOW_CONFIDENCE
415	Ps	19:11	Ps	9:32	0.3333	period	170	MARGINAL
416	Ps	19:13	Ps	9:32	0.2564	none	182	MARGINAL
417	Ps	19:15	Ps	9:36	0.3571	annotation_marker	156	OK
418	Ps	19:17	Ps	19:17	0.1944	period	208	LOW_CONFIDENCE
419	Ps	19:18	Ps	19:18	0.1525	period	300	LOW_CONFIDENCE
420	Ps	19:21	Ps	19:21	0.1892	period	374	LOW_CONFIDENCE
421	Ps	19:1	Ps	19:1	0.2121	period	122	LOW_CONFIDENCE
422	Ps	19:2	Ps	11:2	0.3077	period	107	MARGINAL
423	Ps	19:4	Ps	19:4	0.1667	period	38	LOW_CONFIDENCE
424	Ps	19:6	Ps	112:2	0.2778	period	65	MARGINAL
425	Ps	19:8	Ps	19:8	0.2308	period	113	LOW_CONFIDENCE
426	Ps	19:9	Ps	19:9	0.1887	period	295	LOW_CONFIDENCE
427	Ps	19:3	Ps	6:4	0.2727	period	83	MARGINAL
428	Ps	19:4	Ps	19:4	0.2000	none	84	STRUCTURAL_GAP
429	Ps	19:5	1Cor	16:4	0.2500	period	37	MARGINAL
430	Ps	19:1	Ps	50:1	0.3000	period	32	MARGINAL
431	Ps	19:3	Ps	52:4	0.5263	period	61	OK
432	Ps	19:4	1Thes	4:5	0.2593	annotation_marker	139	MARGINAL
433	Ps	19:6	Ps	13:6	0.2941	period	165	MARGINAL
434	Ps	19:7	Ps	13:7	0.2500	annotation_marker	70	MARGINAL
435	Ps	19:6	Ps	27:6	0.5625	period	69	OK
436	Ps	19:1	Ps	19:1	0.2308	period	221	LOW_CONFIDENCE
437	Ps	19:2	Ps	28:2	0.3684	annotation_marker	77	OK
438	Ps	19:3	Ps	19:3	0.2222	annotation_marker	20	LOW_CONFIDENCE
439	Ps	19:4	Ps	19:4	0.0000	none	17	STRUCTURAL_GAP
440	Ps	19:5	Ex	15:18	0.3636	annotation_marker	45	OK
441	Ps	19:6	Ps	19:6	0.1818	annotation_marker	17	LOW_CONFIDENCE
442	Ps	19:1	Ps	82:1	0.2857	annotation_marker	19	MARGINAL
443	Ps	19:8	2Sm	22:32	0.3077	period	47	MARGINAL
444	Ps	19:2	Ps	93:3	0.2500	annotation_marker	18	MARGINAL
445	Ps	19:3	Ps	19:3	0.1579	period	77	LOW_CONFIDENCE
446	Ps	19:5	Ps	29:5	0.3333	annotation_marker	62	MARGINAL
447	Ps	19:7	Ps	111:6	0.2500	period	31	MARGINAL
448	Ps	19:10	Ps	29:10	0.2619	period	184	MARGINAL
449	Ps	19:12	Ps	29:12	0.3478	period	110	MARGINAL
450	Ps	19:13	Ps	19:13	0.2222	annotation_marker	70	LOW_CONFIDENCE
451	Ps	19:1	Ps	46:1	0.4444	annotation_marker	32	OK
452	Ps	19:4	Ps	30:4	0.6111	none	102	OK
453	Ps	19:5	Ps	30:5	0.6190	none	96	OK
454	Ps	19:6	Ps	30:6	0.3889	annotation_marker	39	OK
455	Ps	19:11	Ps	37:18	0.3125	period	60	MARGINAL
456	Ps	19:15	Ps	30:16	0.3143	period	162	MARGINAL
457	Ps	19:20	Ps	30:20	0.4242	annotation_marker	151	OK
458	Ps	19:2	Ps	19:2	0.2083	annotation_marker	100	LOW_CONFIDENCE
459	Ps	19:23	Ps	19:23	0.2000	period	177	LOW_CONFIDENCE
460	Ps	19:25	Lk	12:35	0.2727	annotation_marker	23	MARGINAL
461	Ps	19:2	Rom	4:8	0.2500	annotation_marker	54	MARGINAL
462	Ps	19:3	Ps	19:3	0.1667	annotation_marker	46	LOW_CONFIDENCE
463	Ps	19:4	Ps	19:4	0.2258	annotation_marker	101	LOW_CONFIDENCE
464	Ps	19:5	Jb	17:13	0.2778	period	66	MARGINAL
465	Ps	19:6	Ps	19:6	0.2105	period	55	LOW_CONFIDENCE
466	Ps	19:7	Ps	31:7	0.3043	none	112	MARGINAL
467	Ps	19:8	Prv	2:20	0.2727	annotation_marker	83	MARGINAL
468	Ps	19:9	Ps	19:9	0.2000	period	81	LOW_CONFIDENCE
469	Ps	19:1	Ps	19:1	0.2000	period	66	LOW_CONFIDENCE
470	Ps	19:2	Ps	19:2	0.1852	period	109	LOW_CONFIDENCE
471	Ps	19:2	Ps	32:2	0.2857	period	53	MARGINAL
472	Ps	19:3	Ps	19:3	0.2105	annotation_marker	42	LOW_CONFIDENCE
