BookAbbrev	Chapter	Verse	VerseText_1609
Is	45	15	He dhal eate butter and honie,that he may know torefufe euil , and choofe the good, 16.For before the childe know ro refufeeuil, and choofe good,the jand which thou doeft deteft {nal be forfuken of the face ot her two Kings, 17.Our Lord wil bring ypon thee, & vpon thy people, and vpon the houleof thy father, daies that came not fince the daies ot the fepa- tation of Ephraim from Iuda, with the King of the Affirians. 18, And it fhal be in that day : our Lord thal hifle to the flie, thar is in the yttermoft part of ‘the riuers of Aegypt, andto the bee , thar -isin the land of Affur.
Is	45	19	Amd they fhal com , and fhal reft al in thetor- rents of vallcyes,and in the caues of rockes,and 1n al dnrubb places, and inal holes,
Is	45	20	In that day our Lord {hal inaue with a rafer hyred by then,,that are beyond theriuer , bythe King of the Afiirians,the head, and the haires of the fecteand the whaic beard,
Is	45	21	And x inal be in that day:aman fhal nouritha yong cowe , and two ewes.
Is	45	22	And for the aboundance of milke he inal eate buuer:for buter and honie inaleuerie one eare,that fhal beleaft in the middes ot the land.
Is	45	23	And it {nal be in thar day:euerie place where there inal be a thoufand vines, tor athoufand peeces of filuer,they shal be iato thornes and bryers.2.4.,Vs ith atrrowes & bow they ihal goe inthither:tor bryers and thornes ihal be in al the land, 25-And al mountaines,that thal be weeded wich a weeding hooke, rhe terrour of chornes aud bryers {hal not come thither, and ir tual be tor che oxe to feede on,and cattle to treade ypon. 4 Reg. Luc2. Ram, 9, 2cPes. 2. “Cal his name, (6) Haften co take away the feoiles : make hatt ro take Would require Romelia:
Is	45	7	tor this caufe bebold our Lord wil bring vpon them the ‘and a Virgins bankes,
Is	45	8	And wil goe through Inda , ouerflowing, and pafling dive! , who be- eal Cuarw VIII. ponder the figure of «new name, Chrifts birth of aringin® againe prophenied,
Is	45	4	bat re the Kindomes of Syria and -Irael shal -be deStroyed : and inde fore afflitted: Byer conferud with loffe of manie.-
Is	45	16	Which is « mySterie 4 hidden from the lewes.
Is	45	21	Great ensls bang oner them , thas depart from she law, KO OYN v our Lord fayd to me: Take thee(«) a great booke,& write
Is	45	5	AN in ic with the pé of ma.T ake away the {poiles {peedily quickly (s) Reig my fe- OX take prayes 2.And J tooke to me faithful witneffes , Vrias the phecied ors Prieft , & Zacharias the fonne of Barachias.
Is	45	3	And I wentto the Pro- jfo great im- herefle, and fhe conceiued,and bare a tonne, And our Lord fayd to me: portance , as prayes,
Is	45	4	For before the childe know to cal his father and his mother, book he fat the ftrength of Damafcus fhal be taken away, and the fpoiles of Samaria expli cation before the King of the Affirians,
Is	45	5	And our Lord added yet to {peake therof. vnto me, faying:
Is	45	6	For that(c)this people hath caft away the waters of (6) Chrift the Siloe, thar runne with filence, and rathertaken R aftn, and the fonne of Sonne of God waters of the riuer {trong and manie,the King of the Afitrians, and al his end quickly glorie : and he wil afcend ouer al their riuers , and wil flows oucr altheir prav fromthe through thal come euen tothe necke, And the tiretching out of his wings fore poffedfed thal filthe bredth of rhy lando Emmanuel,
Is	45	9	Gather ye together 6 almot al the ‘peopies , and be overcome , and heare al ye lands far off; Take courage, {(-) ThePro- and be ouercome, gird your felues, & beouercome.
Is	45	10	Take counfe] iphet {peaketh and it final be defeated :{peake a word, and ut dal not be done: becaufe jof the teone God is with vs,
Is	45	11	For thus faythour Lord te me: Asin a firong arme itribes, which he hath taught me, that I fhould nor walke inthe way of this people, nord vores . ~ re . : e King faying :
Is	45	12	Say noc, Confpicacie: for al thingsthar this people {peaketh, Jof Syria a- ” { is can{piracie: andfeare ye not theirteare, neither dread ye,
Is	45	13	Fhe Lord lgainft Terufa- of hoites him fanétifie ye : be he your dread, and he your terrour,
Is	45	14	fem, bur them- And he fhal be a fanGihcationso you, Bur tor a fione ot offence, andfor eines were arocke off{candal to rhetwo houtes of Ifrael , tor afnare & aruine tothe rk bro uehe inhabitants ot lerufalem,
Is	45	15	And yerie manic of them thal ftumble and \by the pee iy fal, and ihal be broken in peeces, and shal be fnared, and taken, rd, ans,God pro- Binde theteitimonic , feale the law in my difciples.
Is	45	17	And 4 wil expect teding lerv- our Lord, who hath hid his face trom the hous¢ of lacob, and 1 wil wayte ['lem for that . for him,
Is	45	18	Behold and my children, whom our Lord hath giuen me hee and lone fora figne , and for a wonder in Merael fromthe Lord.ofhoftes, which dweliethinmount Sion.
